id,location,lat,lon,state
GLC6200,Arunachal Pradesh/Itanagar,27.0869,93.6086,Arunachal Pradesh
GLC6288,Noonmati,26.1985,91.7998,Assam
GLC6283,Dakhingaon,26.1314,91.7548,Assam
GLC6286,Garchuk,26.1044,91.7082,Assam
GLC6284,Batahghuli,26.1324,91.8342,Assam
GLC6287,Dhirenpara,26.1295,91.7056,Assam
GLC6285,VIP Road,26.159,91.8178,Assam
GLC6292,Hatsingimari,25.7238,89.9032,Assam
GLC6290,Mawbah under Mawprem area,25.5772,91.8666,Meghalaya
GLC6222,Karsingsa block point,27.1249,93.7706,Arunachal Pradesh
GLC6293,South West Garo Hills,25.5006,90.0896,Meghalaya
GLC7591,Ratacherra,25.0318,92.4584,Assam
GLC7031,"Bop, Sikkim",27.6163,88.6586,Sikkim
GLC6971,"Itanagar, Arunachal Pradesh",27.0987,93.816,Arunachal Pradesh
GLC6968,"Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizor",25.463,92.2121,Meghalaya
GLC6969,"Nakham Bazaar, Tura, Meghalaya",25.5114,90.215,Meghalaya
GLC6970,Akonggre,25.5084,90.2191,Meghalaya
GLC6963,"Muanna locality, Mizoram",23.7131,92.7362,Mizoram
GLC6945,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",25.16,93.686,Manipur
GLC6990,"New Land (""""New Colony"""")",26.0319,94.5466,Nagaland
GLC7214,Type-IV Colony of Seppa in East Kameng,27.36,93.0385,Arunachal Pradesh
GLC7263,"15 kms from Maram, National Highway-102/A (Maram Peren road)",25.4477,94.0489,Manipur
GLC7264,22 kms to 30 kms between Sangkungmai and Willong,25.4538,93.9827,Manipur
GLC7253,Lakhipur,24.7979,92.9974,Assam
GLC7265,Willong-Yangkhullen stretch,25.5007,93.9854,Manipur
GLC7266,Yangkhullen-Tamphung road till Nagaland border,25.5098,93.8794,Manipur
GLC7279,Tamenglong Ward No-IV,24.9818,93.5142,Manipur
GLC7276,,26.1062,91.8717,Assam
GLC7364,Phungyar road,24.819,94.3551,Manipur
GLC7372,Naga Gate along the Ukhrul-Imphal route,25.0634,94.3415,Manipur
GLC7370,between Moltuk to New Songjang village,24.1419,94.1078,Manipur
GLC7385,"Holenjang, Chandel district",24.004,93.9815,Manipur
GLC7369,between Chalong and Paraolon,24.1988,94.1016,Manipur
